"","ERR1797969","ERR1797970","ERR1797971","ERR1797972","ERR1797973","ERR1797974"
"IBPFAHIO_00777",577.378094076713,567.464341724957,553.408498825919,250.386689117837,226.798008481061,244.395788216842
"IBPFAHIO_00778",4.6190247526137,5.91108689296831,9.59667917039167,4.56910016638388,2.72157610177273,1.9789132649137
"IBPFAHIO_00779",34.6426856446028,43.3479705484342,53.3148842799537,40.2080814641782,42.6380255944394,26.7153290763349
"IBPFAHIO_00780",31.1784170801425,37.4368836554659,34.1215259391704,7.31056026621421,8.16472830531818,8.90510969211165
"IBPFAHIO_00781",70.4401274773589,57.140506632027,71.441944935138,22.8455008319194,23.5869928820303,16.8207627517664
"IBPFAHIO_00782",28.8689047038356,26.5998910183574,27.7237398255759,11.8796604325981,8.16472830531818,4.94728316228425
"IBPFAHIO_00783",3.46426856446028,0.985181148828051,0,0.913820033276776,0,0.98945663245685
"IBPFAHIO_00784",68.1306151010521,50.2442385902306,61.8452657647463,49.3462817969459,47.1739857640606,42.5466351956445
"IBPFAHIO_00801",9445.90561909502,9297.15450149032,9548.69577453971,9430.62274341633,8513.09004634509,8424.23376873762
"IBPFAHIO_00802",4356.89509790287,4253.0270194907,4339.83158038823,4462.1832224905,3767.56851688738,3934.07957064843
"IBPFAHIO_00803",12750.8178295901,12080.2912469296,11831.6391194073,21049.8444665305,19598.9767008993,19376.5292334025
"IBPFAHIO_00804",1113.1849653799,993.062598018676,1120.67886756463,2063.40563513896,1925.96868802117,2141.18415263662
"IBPFAHIO_00805",5366.15200634897,5529.82178837185,5353.88067939295,20995.9290845672,19994.5124276903,22030.2519216518
"IBPFAHIO_00806",443.426376250915,406.879814465985,411.590906641243,189.160746888293,233.14835271853,221.638285670334
"IBPFAHIO_00807",25159.8278274868,26610.7280109945,24397.9573441924,70989.1954650731,60448.0196044401,64164.2837015618
"IBPFAHIO_00808",22516.5909128036,21718.3184259144,20995.4014294458,60897.8808375977,54901.4475090273,56844.283534646
"IBPFAHIO_00809",8241.49491485099,7658.79825098927,7511.00089735988,4029.94634675058,4017.95351825047,4088.4348053117
"IBPFAHIO_00810",1031.19727602101,1102.41770553859,1152.6677981326,580.275721130753,630.498463577348,629.294418242556
"IBPFAHIO_00811",3062.41341098288,2996.92105473493,3167.97042391485,2836.49738329111,2732.46240617982,2632.94409896768
"IBPFAHIO_00812",0,0,0,0,0,1.9789132649137
"IBPFAHIO_00813",26023.5854562256,26993.9634778886,25912.1000577431,1478.56081384182,1281.86234393495,1220.98948445175
"IBPFAHIO_00814",2991.97328350552,3006.77286622321,2966.44016133662,2699.4243782996,2432.18184295089,2576.54507091764
"IBPFAHIO_00815",0,0,0,2.74146009983033,0,0.98945663245685
"IBPFAHIO_00816",8751.89715001481,8835.10454268996,8650.87312326529,7162.52142082337,6931.85433121513,6960.82740933394
"IBPFAHIO_00817",1177.85131191649,1103.40288668742,1124.94405830702,855.335551147063,779.277957140924,848.953790647977
"IBPFAHIO_00818",4602.85816597955,4590.94415353872,4225.73772802913,16039.369224074,16021.918511136,15677.9403412788
"IBPFAHIO_00819",1077.38752354715,1062.02527843664,956.469023982369,1269.29602622144,1265.53288732432,1377.32363237993
"IBPFAHIO_00820",607.401754968702,559.582892534333,604.590787734675,1358.85038948257,1290.02707224027,1240.77861710089
"IBPFAHIO_00821",4009.31348526869,3950.57640680049,3859.99762186865,4498.73602382157,4714.67700030429,4633.62540979543
"IBPFAHIO_00822",1058.91142453669,1156.60266872413,1065.23138791347,428.581595606808,499.862810692257,469.002443784547
"IBPFAHIO_00823",0,0,0,0,0,0
"IBPFAHIO_00824",2886.89047038356,2697.4259854912,2796.89882932637,14564.4636903653,14234.7502043053,13892.9605763266
"IBPFAHIO_00825",975.768978989644,882.722309349934,898.888948960019,7993.18383107196,7794.59395547709,7545.59627911594
"IBPFAHIO_00826",2345.30981813961,2293.5017144717,2271.21407032603,13153.5255589859,12825.8809756209,12921.314163254
"IBPFAHIO_00827",1239.05338988863,1284.67621807178,1237.97161298052,7242.93758375173,7555.09525852109,7524.81768983434
"IBPFAHIO_00828",2116.66809288523,2109.27283964086,2006.77224429746,10965.8403993213,11361.6730328672,10741.5412019516
"IBPFAHIO_00829",1804.8839220838,1805.83704580182,1799.91049329124,12751.4447443441,10657.692014542,10322.0115897899
"IBPFAHIO_00830",355.664905951255,333.976409452709,315.624114937326,2196.82335999737,2262.53693260706,2347.9805888201
"IBPFAHIO_00831",2269.09590972148,2166.41334627288,2183.7776601069,17531.637338415,17330.9966160887,16574.3880502847
"IBPFAHIO_00832",927.2692190872,978.284880786255,903.154139702416,11921.6961541288,12593.6398149363,11964.5095996682
"IBPFAHIO_00833",981.542759930411,990.107054572191,806.1210503129,27977.5141388018,26421.9679880436,26087.0241147248
