Gene	ERR1797969	ERR1797970	ERR1797971	ERR1797972	ERR1797973	ERR1797974
IBPFAHIO_00184	6945	8122	8483	20279	20303	18625
IBPFAHIO_00185	795	930	805	826	707	727
IBPFAHIO_00186	4522	5080	4740	2822	2547	2291
IBPFAHIO_00187	1570	2072	1836	1062	1006	929
IBPFAHIO_00188	363	379	362	943	934	878
IBPFAHIO_00189	8214	9644	8867	44431	45771	40874
IBPFAHIO_00190	18247	21249	20889	25061	24908	21508
IBPFAHIO_00191	2144	2423	2215	4799	4539	4139
IBPFAHIO_00192	4595	5000	4718	759	671	620
IBPFAHIO_00193	1375	1442	1333	51	51	42
IBPFAHIO_00194	239	200	243	16	16	18
IBPFAHIO_00195	205	249	238	11748	12172	9840
IBPFAHIO_00196	194	274	280	17246	21627	16288
IBPFAHIO_00197	297	367	325	16940	17246	16134
IBPFAHIO_00198	1045	1270	1103	1817	1822	1627
IBPFAHIO_00199	3422	3832	3641	5900	5752	5165
IBPFAHIO_00200	2984	3295	3038	5747	4810	4457
IBPFAHIO_00201	1191	1593	1377	3244	2516	2241
IBPFAHIO_00202	2679	3429	3063	5573	4716	4505
IBPFAHIO_00203	7055	8007	7305	9675	8068	7624
IBPFAHIO_00204	12353	14025	13588	17948	15556	13319
IBPFAHIO_00205	880	949	912	5510	5407	4724
IBPFAHIO_00206	25	26	28	97	92	120
IBPFAHIO_00207	508	597	571	1497	1325	1359
IBPFAHIO_00208	511	600	614	330	280	234
IBPFAHIO_00209	102	107	99	166	204	150
IBPFAHIO_00210	85	83	72	86	70	58
IBPFAHIO_00211	116	127	107	88	77	80
IBPFAHIO_00212	493	575	536	2060	2016	1789
IBPFAHIO_00213	721	929	828	2363	2089	1954
IBPFAHIO_00214	1205	1360	1157	3589	3378	2843
IBPFAHIO_00215	1034	1238	1149	2982	2972	2701
IBPFAHIO_00216	1189	1428	1206	4093	3558	3335
IBPFAHIO_00217	235	271	248	766	827	770
IBPFAHIO_00218	693	826	721	2257	2598	2160
IBPFAHIO_00219	172	204	204	390	402	406
IBPFAHIO_00220	47	53	46	38	42	35
IBPFAHIO_00221	81	89	102	40	67	56
IBPFAHIO_00222	48	45	46	107	118	104
IBPFAHIO_00223	34	29	41	67	68	74
IBPFAHIO_00224	13	27	20	22	21	30
IBPFAHIO_00225	64	64	74	42	49	37
IBPFAHIO_00226	77	84	76	86	83	79
IBPFAHIO_00227	27	30	28	32	24	25
IBPFAHIO_00228	559	738	651	851	863	792
IBPFAHIO_00229	351	397	370	581	537	512
IBPFAHIO_00230	749	808	742	1265	1384	1169
IBPFAHIO_00231	513	534	468	1050	1078	906
IBPFAHIO_00232	565	611	638	1476	1507	1327
IBPFAHIO_00233	7512	8585	7707	33816	33093	30063
IBPFAHIO_00234	70	91	67	750	696	697
