IBPFAHIO_00337	5557
IBPFAHIO_00338	369
IBPFAHIO_00339	689
IBPFAHIO_00340	3764
IBPFAHIO_00341	231
IBPFAHIO_00342	1015
IBPFAHIO_00343	195
IBPFAHIO_00344	65314
IBPFAHIO_00345	522
IBPFAHIO_00346	193
IBPFAHIO_00347	569
IBPFAHIO_00348	314
IBPFAHIO_00349	18696
IBPFAHIO_00350	5772
IBPFAHIO_00351	184
IBPFAHIO_00352	256
IBPFAHIO_00353	111
IBPFAHIO_00354	392
IBPFAHIO_00355	124
IBPFAHIO_00356	161
IBPFAHIO_00357	960
IBPFAHIO_00358	1111
IBPFAHIO_00359	104
IBPFAHIO_00360	69
IBPFAHIO_00361	186
IBPFAHIO_00362	24
IBPFAHIO_00363	87
IBPFAHIO_00364	83
IBPFAHIO_00365	22
IBPFAHIO_00366	39
IBPFAHIO_00367	7033
IBPFAHIO_00368	2897
IBPFAHIO_00369	6473
IBPFAHIO_00370	2202
IBPFAHIO_00371	756
IBPFAHIO_00372	433
IBPFAHIO_00373	278
IBPFAHIO_00374	977
IBPFAHIO_00375	795
IBPFAHIO_00376	905
IBPFAHIO_00377	3495
IBPFAHIO_00378	5620
IBPFAHIO_00379	1964
IBPFAHIO_00380	1999
IBPFAHIO_00381	3114
IBPFAHIO_00382	602
IBPFAHIO_00383	942
IBPFAHIO_00384	1086
IBPFAHIO_00385	2983
IBPFAHIO_00386	435
IBPFAHIO_00387	6839
IBPFAHIO_00388	4263
IBPFAHIO_00389	1704
IBPFAHIO_00390	4933
IBPFAHIO_00391	2207
IBPFAHIO_00392	808
IBPFAHIO_00393	1385
IBPFAHIO_00394	1837
IBPFAHIO_00395	1551
IBPFAHIO_00396	355
IBPFAHIO_00397	510
IBPFAHIO_00398	334
IBPFAHIO_00399	267
IBPFAHIO_00400	227
IBPFAHIO_00401	15
IBPFAHIO_00402	43
IBPFAHIO_00403	232
IBPFAHIO_00404	71
IBPFAHIO_00405	10
IBPFAHIO_00406	11
IBPFAHIO_00407	168
IBPFAHIO_00408	40
IBPFAHIO_00409	21
IBPFAHIO_00410	97
IBPFAHIO_00411	303
IBPFAHIO_00412	483
IBPFAHIO_00413	3375
IBPFAHIO_00414	4307
IBPFAHIO_00415	181
IBPFAHIO_00416	21
IBPFAHIO_00417	56
IBPFAHIO_00418	160
IBPFAHIO_00419	34
IBPFAHIO_00420	4
IBPFAHIO_00421	1
IBPFAHIO_00422	4479
IBPFAHIO_00423	45
IBPFAHIO_00424	289
IBPFAHIO_00425	982
IBPFAHIO_00426	6831
IBPFAHIO_00427	2067
IBPFAHIO_00428	4756
IBPFAHIO_00429	883
IBPFAHIO_00430	837
IBPFAHIO_00431	529
IBPFAHIO_00432	1090
IBPFAHIO_00433	559
IBPFAHIO_00434	1
IBPFAHIO_00435	7012
IBPFAHIO_00436	4079
IBPFAHIO_00437	2365
IBPFAHIO_00438	1398
IBPFAHIO_00439	1070
IBPFAHIO_00440	989
IBPFAHIO_00441	571
IBPFAHIO_00442	299
IBPFAHIO_00443	342
IBPFAHIO_00444	3350
IBPFAHIO_00445	1002
IBPFAHIO_00446	730
IBPFAHIO_00447	600
IBPFAHIO_00448	835
IBPFAHIO_00449	507
IBPFAHIO_00450	3915
IBPFAHIO_00451	1328
IBPFAHIO_00452	548
IBPFAHIO_00453	1698
IBPFAHIO_00454	2108
IBPFAHIO_00455	1706
IBPFAHIO_00456	1711
IBPFAHIO_00457	533
IBPFAHIO_00458	1785
IBPFAHIO_00459	1591
IBPFAHIO_00460	24330
IBPFAHIO_00461	194
IBPFAHIO_00462	12668
IBPFAHIO_00463	2150
IBPFAHIO_00464	33
IBPFAHIO_00465	105
IBPFAHIO_00466	34
IBPFAHIO_00467	57
IBPFAHIO_00468	15
IBPFAHIO_00469	1115
IBPFAHIO_00470	7561
IBPFAHIO_00471	8486
IBPFAHIO_00472	5576
IBPFAHIO_00473	864
IBPFAHIO_00474	988
IBPFAHIO_00475	12394
IBPFAHIO_00476	0
IBPFAHIO_00477	100
IBPFAHIO_00478	1984
IBPFAHIO_00479	1556
IBPFAHIO_00480	301
IBPFAHIO_00481	118
IBPFAHIO_00482	952
IBPFAHIO_00483	5816
IBPFAHIO_00484	1489
IBPFAHIO_00485	4501
IBPFAHIO_00486	1003
IBPFAHIO_00487	209
IBPFAHIO_00488	31776
IBPFAHIO_00489	1258
IBPFAHIO_00490	2615
IBPFAHIO_00491	359
IBPFAHIO_00492	7833
IBPFAHIO_00493	18758
IBPFAHIO_00494	1153
IBPFAHIO_00495	1611
IBPFAHIO_00496	2199
IBPFAHIO_00497	4686
IBPFAHIO_00498	14967
IBPFAHIO_00499	4272
IBPFAHIO_00500	3067
IBPFAHIO_00501	21
IBPFAHIO_00502	951
IBPFAHIO_00503	3951
IBPFAHIO_00504	8913
IBPFAHIO_00505	12835
IBPFAHIO_00506	5442
IBPFAHIO_00507	1042
IBPFAHIO_00508	1967
IBPFAHIO_00509	364
IBPFAHIO_00510	4345
IBPFAHIO_00511	1295
IBPFAHIO_00512	1418
IBPFAHIO_00513	960
IBPFAHIO_00514	6927
IBPFAHIO_00515	4133
IBPFAHIO_00516	4824
IBPFAHIO_00517	15352
IBPFAHIO_00518	6355
IBPFAHIO_00519	3509
IBPFAHIO_00520	9033
IBPFAHIO_00521	5200
IBPFAHIO_00522	2154
IBPFAHIO_00523	1
IBPFAHIO_00524	2123
IBPFAHIO_00525	4371
IBPFAHIO_00526	460
IBPFAHIO_00527	451
IBPFAHIO_00528	353
IBPFAHIO_00529	519
