"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IBPFAHIO_02797",125.246694483956,0.540513317664,0.179596348182919,3.00960082503173,0.00261591238655054,0.00375026826092918
"IBPFAHIO_02798",257.20000090145,-0.011189973883232,0.120621203279561,-0.0927695428248811,0.926086647941488,0.940188539979101
"IBPFAHIO_02799",240.808023290758,-0.384734061734771,0.136987631564996,-2.80853137863201,0.00497680321303613,0.00703012959330288
"IBPFAHIO_02800",1966.31112028216,-0.458081448975371,0.0647535379934394,-7.07423043080337,1.50280389880567e-12,3.07971867481272e-12
"IBPFAHIO_02801",28.0337701305511,-0.408771094290478,0.341224191672672,-1.19795461244026,0.2309346870474,0.272674263475068
"IBPFAHIO_02802",1.11453918081913,-2.29314499212138,1.80842206802593,-1.26803639076611,0.204784955252592,0.244402307983947
"IBPFAHIO_02803",64.2993503077256,0.994789418911247,0.237649006836064,4.18596076691149,2.83962397583189e-05,4.5949999652185e-05
"IBPFAHIO_02804",23.6661422796832,-1.24100514330059,0.385528316583221,-3.21897274446429,0.00128650712897484,0.00187675735245867
"IBPFAHIO_02805",2.85560903318377,1.05855547649879,1.08069362142777,0.979514874067887,0.327325642947539,0.375953291247231
"IBPFAHIO_02806",17.8088814083772,2.85486193725571,0.549624113391016,5.19420794630364,2.05593240507276e-07,3.58888550523786e-07
"IBPFAHIO_02807",176.269680915781,0.474684862656536,0.163931653286557,2.89562664159053,0.00378402311302187,0.00537087151525685
"IBPFAHIO_02808",144.759511538465,1.61111828897363,0.163529622511499,9.85214950190659,6.70934685790847e-23,1.71722547466742e-22
"IBPFAHIO_02809",488.359621660029,1.81278618761069,0.102124097904763,17.7508171411338,1.69864373694211e-70,8.17096794361861e-70
"IBPFAHIO_02810",696.159643757507,1.81324778690737,0.0894524881768334,20.2705125800734,2.34204773172462e-91,1.33474415491811e-90
"IBPFAHIO_02811",249.9034957479,1.45517686109494,0.127073857425546,11.451425891809,2.31308972417588e-30,6.5724258829385e-30
"IBPFAHIO_02812",109.096130407973,1.79766770189738,0.200049486792649,8.98611503942853,2.56123876306347e-19,6.11102582064266e-19
"IBPFAHIO_02813",92.7334746059208,1.69486382971434,0.207441663546061,8.17031545515929,3.07584117286777e-16,6.89357062862948e-16
"IBPFAHIO_02814",92.0462362076803,1.28234240013069,0.211134772947307,6.07357273380412,1.25095299461712e-09,2.33344847873717e-09
"IBPFAHIO_02815",186.14816034506,1.06230478511148,0.142600648938657,7.44950877164979,9.36884116388109e-14,1.97823378703826e-13
"IBPFAHIO_02816",19.8298583618253,-0.464366089009342,0.404416323289881,-1.1482377497322,0.250870429356044,0.294354637111092
"IBPFAHIO_02817",172.407983184557,0.650055346641548,0.161888721798773,4.01544554443739,5.9333598039617e-05,9.4028668079732e-05
"IBPFAHIO_02818",443.711727177967,2.59394017509625,0.134937194891607,19.2233147960421,2.36188142272198e-82,1.26417696185763e-81
"IBPFAHIO_02819",15.645282930813,0.250435710611509,0.446291333094637,0.56114849659965,0.574696309877605,0.622102517783573
"IBPFAHIO_02820",19.6490870082467,-0.215290607225134,0.41282414000705,-0.521506826663426,0.602013751219216,0.647224270085482
"IBPFAHIO_02821",81.6161767892035,0.223123778932653,0.212336631553184,1.05080210277692,0.293349489834872,0.340194447126332
"IBPFAHIO_02822",40.5357087772947,-0.332311757253078,0.279752889837032,-1.18787604820334,0.234882247419802,0.276680190661437
"IBPFAHIO_02823",64.6386197063588,-0.123981731057285,0.225587871791316,-0.549593956770763,0.582597904729874,0.629289866769597
"IBPFAHIO_02824",137.95879448404,0.110561151453057,0.15865880294011,0.69684851646581,0.485897599920238,0.535866427925304
"IBPFAHIO_02825",235.236649910682,-0.237135939840607,0.127993703299125,-1.8527156706015,0.0639231227221252,0.0818741366372426
"IBPFAHIO_02826",183.798164636355,-0.898146083891028,0.142766230243011,-6.29102612264987,3.15374252249045e-10,6.0101895715232e-10
"IBPFAHIO_02827",363.388796505624,-1.76927685231465,0.115442442789895,-15.3260517497427,5.1218739969564e-53,2.035145683784e-52
"IBPFAHIO_02828",299.329310121273,-1.13171903751153,0.120263698152078,-9.41031296144267,4.94661830306577e-21,1.22013866139924e-20
"IBPFAHIO_02829",121.468979795291,-1.47251356698154,0.1803315716606,-8.16558938305567,3.1986958743082e-16,7.16354644904951e-16
"IBPFAHIO_02830",1070.48154900414,-1.06833820194596,0.0780608248672219,-13.6859712123611,1.23150600981208e-42,4.25972945821704e-42
"IBPFAHIO_02831",583.400875300103,-0.974324934227418,0.0929987268966087,-10.4767556152744,1.10468581421924e-25,2.972320104446e-25
"IBPFAHIO_02832",48.1636025927554,-0.805393978033652,0.27424065941916,-2.93681462019334,0.00331602263476291,0.00472004744206025
"IBPFAHIO_02833",4318.20447541884,-1.12446089662488,0.0714515622030191,-15.7373871466923,8.38345219575748e-56,3.45024607561298e-55
"IBPFAHIO_02834",2918.31309848497,-1.12061945465661,0.0707610827791074,-15.8366634687433,1.73801379137449e-56,7.20240618253806e-56
"IBPFAHIO_02835",124.183626987789,-0.984283458712126,0.192790423705995,-5.10545824730982,3.29993847385439e-07,5.71047768292211e-07
"IBPFAHIO_02836",3.58773360834832,-0.610154903539306,0.935936741178498,-0.65191895637201,0.514453455367682,0.563413154634006
"IBPFAHIO_02837",131.430477313524,-0.375520468879942,0.164527929989863,-2.28241167869235,0.0224650464817445,0.0300068835149015
"IBPFAHIO_02838",193.113660223879,-0.367600768162837,0.136611130380513,-2.69085518243596,0.00712691247388717,0.00995040696307532
"IBPFAHIO_02839",0.661262900589171,0.209510130555569,2.26686977944644,0.0924226580878987,0.926362237920585,0.940188539979101
"IBPFAHIO_02840",0.49421647795065,1.04768601036182,2.49752925627209,0.41948898405524,0.674858803843743,0.718521744319511
"IBPFAHIO_02841",4.59906477279185,0.73562329505057,0.836317638390639,0.879597967664727,0.37907714022852,0.430272687239656
"IBPFAHIO_02842",21.0372321287273,1.16815085518875,0.41594943956674,2.80839627144471,0.00497889191450829,0.00703012959330288
"IBPFAHIO_02843",183.686869725109,0.75653133254934,0.142451207385805,5.31081025168432,1.09138916553912e-07,1.92651114058587e-07
"IBPFAHIO_02844",475.744987809974,0.264457426539193,0.0999471510666449,2.64597263370571,0.00814564060104743,0.0113251657427202
"IBPFAHIO_02845",91.873652340083,-0.12748082922153,0.18973168421873,-0.671900582901935,0.501646989283427,0.551608890825437
"IBPFAHIO_02846",49.8227104963168,0.931410126974202,0.260007967652086,3.58223686521989,0.000340664691532997,0.000515042322924066
"IBPFAHIO_02847",390.93906788847,-0.321516652291313,0.102615595219034,-3.13321431898371,0.00172903141657021,0.00250521162149058
"IBPFAHIO_02848",229.922028191322,0.914933823142741,0.146351274796607,6.2516286545114,4.06194287031711e-10,7.71640194792939e-10
"IBPFAHIO_02849",14.5199383405769,-0.54802132447368,0.477256069691813,-1.14827523268078,0.250854960197234,0.294354637111092
"IBPFAHIO_02850",783.157446782347,1.96257475298485,0.0898808191896321,21.8353011318708,1.072337835176e-105,6.91473017854867e-105
"IBPFAHIO_02851",30.7015014919353,1.36745548081605,0.34951107786431,3.9124810840672,9.13526958276068e-05,0.000143253284023165
"IBPFAHIO_02852",454.138492217517,-0.186165653427393,0.106255229136652,-1.75206109798108,0.0797633025974449,0.100824588665634
"IBPFAHIO_02853",1491.23309919678,0.615738089614373,0.0671233895733293,9.17322700072688,4.59066417024513e-20,1.11036921563245e-19
"IBPFAHIO_02854",685.871027803769,1.00466029850383,0.0885418208635379,11.3467318460982,7.6986742053293e-30,2.1812910248433e-29
